grup,subgrup,castell,punts_carregat,punts_descarregat
1,1,2de6,250,300
1,1,Pde5,260,315
1,1,9de6,295,355
1,1,4de7,325,395
1,1,3de7,345,415
2,1,4de7a,465,515
2,1,3de7a,485,545
2,2,7de7,460,555
2,2,5de7,470,565
2,2,7de7a,570,640
2,2,5de7a,605,670
3,1,3de7s,635,705
3,1,9de7,615,740
3,2,2de7,670,805
3,2,4de8,700,845
3,3,Pde6,765,920
3,3,3de8,805,970
4,1,7de8,905,1090
4,1,2de8f,1005,1210
4,1,Pde7f,1055,1270
4,2,5de8,1150,1385
4,2,4de8a,1310,1455
4,2,3de8a,1375,1530
4,2,7de8a,1475,1635
4,2,5de8a,1555,1730
5,1,4de9f,1510,1820
5,1,3de9f,1585,1910
6,1,9de8,1980,2385
6,2,3de8s,2340,2600
6,2,2de9fm,2265,2730
6,2,Pde8fm,2380,2870
6,3,7de9f,2500,3010
6,3,5de9f,2595,3125
6,3,4de9fa,2955,3285
6,3,3de9fa,3100,3445
7,1,4de9sf,3405,4105
7,1,2de8sf,3575,4310
7,1,3de10fm,3755,4525
7,2,4de10fm,4095,4930
7,2,9de9f,4295,5180
7,3,2de9sm,4685,5645
7,3,Pde9fmp,4920,5925
7,3,3de9sf,5165,6220
7,3,Pde7sf,5280,6360
7,4,2de10fmp,5630,6780
7,4,4de10sm,5910,7120
7,4,3de10sm,6205,7475
